instance,n,m,total_weight,exact_bw,lrta_bw,wmsf_bw,ipsns_bw,lrta_gap_abs,wmsf_gap_abs,ipsns_gap_abs,lrta_gap_rel,wmsf_gap_rel,ipsns_gap_rel,lrta_is_optimal,wmsf_is_optimal,ipsns_is_optimal,exact_time,lrta_time,wmsf_time,ipsns_time,exact_status,lrta_status,wmsf_status,ipsns_status
rd_10_30_1997,10,27,167254.0,38091.0,38091.0,38091.0,38091.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.002124,0.000499,0.000616,0.015951,ok,ok,ok,ok
bad2,11,12,13129.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.00435,0.000436,0.000502,0.008717,ok,ok,ok,ok
trace,12,15,15.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.009908,0.000435,0.000479,0.007071,ok,ok,ok,ok
bad1,13,14,21821.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.023243,0.000461,0.000544,0.009862,ok,ok,ok,ok
example.new,18,27,150341.0,18638.0,18638.0,19736.0,18638.0,0.0,1098.0,0.0,0.0,0.0073034,0.0,True,False,True,1.362829,0.000635,0.000632,0.009077,ok,ok,ok,ok
example-rev,18,32,462.0,118.0,118.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,1.36368,0.000602,0.000636,0.009834,ok,ok,ok,ok
example,18,32,133693.0,32173.0,32173.0,32703.0,32173.0,0.0,530.0,0.0,0.0,0.00396431,0.0,True,False,True,1.352693,0.00063,0.000653,0.01043,ok,ok,ok,ok
bad7,19,21,34295.0,1724.0,1724.0,1724.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,2.991568,0.000629,0.000654,0.013158,ok,ok,ok,ok
stg,20,30,30.0,5.0,6.0,5.0,5.0,1.0,0.0,0.0,0.03333333,0.0,0.0,False,True,True,6.674721,0.000888,0.000717,0.025762,ok,ok,ok,ok
r20_60,20,60,9234.0,1685.0,1688.0,1766.0,1688.0,3.0,81.0,3.0,0.00032489,0.00877193,0.00032489,False,False,False,6.699117,0.000769,0.001015,0.050307,ok,ok,ok,ok
